timestamp,name,current_stage,current_concerns,resources
2025-03-25T16:57:48.236Z,3011236931,Associate Director of Process Development,"Funding, mentorship",Mentorship and opportunities for career path outside of the lab
2025-03-27T13:32:56.049Z,3011236932,"PhD, looking for work in Pittsburgh ",Limited jobs and increased competition due to recent events,Connections 
2025-04-01T14:23:11.705Z,3011236933,Postdoctoral Scholar,"Loosing job market and career oportunities. I personally will be unemployed pretty soon, and I did not secure my next position so far",Ways to directly socialize with recruiters and potential employers
2025-04-01T19:53:54.795Z,3011236934,Senior Principal Biostatistician in field of Medical Devices; PhD Epidemiology,Disinformation; Government layoffs,
2025-04-03T13:58:51.146Z,3011236935,Group leader,"funding, reproducibility, role in society","connections, opportunities to expand skillsets, job opportunities"
2025-04-03T16:43:51.092Z,3011236936,"Researcher/Implementation Scientist - accessing, controlling, and using personal health data. Data standards, systems, and models that support consumer-centric health decision making. AI Startup focused on Consumer Health Intelligence. ",Use of real-world data in learning health system,
2025-04-03T18:32:50.615Z,3011236937,Research Scientist and PhD candidate ,"Epistemic virtues, translational science, decentralized trials, evidentiary requirements for validating remotely derived digital endpoints using consumer grade tech. ","Networking with scientists from academia, industry, and other organizations ( e.g. foundations, etc). "
2025-04-06T15:08:46.476Z,3011236938,professor,AI impact,AI education and reskillin
2025-04-06T16:36:53.466Z,3011236939,"Head of/Director in emerging technologies, innovation research, & growth.",,
2025-04-07T18:22:11.115Z,3011236940,I’m a contractor analytics lead at one of the NIH institutes. I run analytics and customer experience research on all of our websites which shows how science is resonating with different audiences. ,"The destruction of science and objective inquiry in the US, and how to teach people to care about it ",Networking with like minded scientists and other people 
2025-04-07T21:19:18.731Z,3011236941,"I work in the emerging technology policy as an associate partner.Super frustrated about the direction federal policy is going, would love to stay connected",Cutting of basic research and health funding,
2025-04-07T21:27:57.285Z,3011236942,Manager of a Software Team in Synthetic Biology,Dismantling of science in the US. Institutional stagnation. Biotech held back by Pharma priorities.,Community of builders. Community of practice. 
2025-04-07T23:40:50.688Z,3011236943,PhD in political science turned AI practitioner,Replication and public trust,
2025-04-08T12:40:08.378Z,3011236944,Product Manager ,"Neuromodulation
",Networking
2025-04-08T12:56:25.549Z,3011236945,"I am a patent lawyer, biochemist, and AI developer.","Loss of funding, scientist being driven out of the US, religion.",networking.
2025-04-10T12:12:39.278Z,3011236946,PostDoc,"Universities being stuck, hence not delivering the science and later on tech we need.","Community, network"
2025-04-10T20:57:52.215Z,3011236947,Academia,Jobs for early career researchers ,
2025-04-11T12:50:59.587Z,3011236948,Director of Process Development ,"Funding, growth",Connections and roadmap for growth in fields like regulatory 
2025-04-11T15:44:06.995Z,3011236949,"Finishing a Master's program in Systems Science at Binghamton University this fall

Experimenting with DeSci by publishing on ResearchHub","Limitations of current funding processes

Lack of support for scientists interested in basic theoretical research who want to follow their curiosity with close to no strings attached

Lack of integration within the complexity and systems sciences","Deep engagement with and critique of my writing, research approaches, and vision for a private systems research center

Community of peers to chat with about systems, complexity, blockchains, DeSci, etc. 

"
2025-04-12T19:05:20.961Z,3011236950,Advisor,,
2025-04-15T19:55:30.014Z,3011236951,CEO of Drug company,$,... Knowledgeable $
2025-04-22T16:42:08.115Z,3011236952,Mentoring ,The ability to store an analysis data,Meeting others
2025-04-22T22:13:07.733Z,3011236953,Senior research scientist,,Connection to industry for opportunities full time
2025-04-23T13:57:15.851Z,3011236954,legal advisor to early-stage life sciences companies,Translational hurdles/misapprehensions,N/A
2025-04-23T18:11:39.716Z,3011236955,I am a molecular virologist by training. PhD in plant pathology. Over 20 years of R&D research and leadership. Passion for hunting and evaluating new technologies. ,The rise of pseudoscience. The lack of understanding of the impact of science. The reduction in funding for good science. ,Job leads outside of the US. Ways I can make a contribution providing educational material and talks to help non scientists understand science 
2025-04-23T19:23:51.298Z,3011236956,Program Manager at a science philanthropy,"Shifting federal priorities that are leaving fundamental, translational and clinical scientific research underfunded, a growing lack of appreciation of science, the scientific process and science's contribution to making live less shitty amongst the general population, a lack of representation in all levels of government by STEM professionals","Resources for engaging politicians, the general public, white papers on common areas of public mistrust in science"
2025-05-03T00:33:02.246Z,3011236957,,,
2025-05-03T00:37:58.012Z,3011236958,K-12 ASCA School Counselor  at Fountain Fort Carson serving military families and autistic program,Science education and capitalism ,Community based career pathways for students 
2025-05-04T18:17:16.945Z,3011236959,Midcareer/applications scientist,"The funding landscape is obviously a major concern. 

I am personally trying to reestablish myself in a new country, which is difficult on a personal and professional level.

I also worry about the possibility of losing access to articles and datasets previously maintained by the NIH and NCBI.",Networking channels for other scientists in my region.
2025-05-06T19:36:02.644Z,3011236960,"Analytical Chemist, Program & Project Management; Seeking opportunities in lab services, life sciences, and adjacent.","The general disconnect between growth & capital expenditure on research, and the general lack of connectivity among many local contributing scientists","Face-to-face networking events, town halls"
2025-05-06T20:26:33.170Z,3011236961,Account Manager - Scientific ,Uncertainty with market,Networking. Learning more about Bio in Pittsburgh
2025-05-06T23:46:44.411Z,3011236962,Scientist in industry,Everything ,Connecting and forging relationships with local peers 
2025-05-13T13:00:41.195Z,3011236963,"I am a cofounder of three science-based startups: AutocurriculaLab, NeuroAILab, and LangTechAI",It is not respected enough...,Community...
2025-05-13T13:52:36.883Z,3011236964,DOGE contract refuge. Unclear on how to search for healthcare informatics roles while the ground moving constantly. Technology finally ready to address large text challenges and consumer overload with same content that has overloaded clinicians. Need a tribe like this!!!,Fact based decisions in commercial and government planning,Develop processes to support the displaced tribe effectively.
2025-05-13T14:46:55.432Z,3011236965,Director of Professional Learning focused on STEM and equitable technology support,In no particular order: 1. Erosion of Research Integrity & Autonomy 2. Politicization of Scientific Inquiry 3. Threats to Equity & Inclusion 4. Compromised Peer Review & Collaboration 5. Diminished Support for Foundational Research 6. Brain Drain & Loss of Talent 7. Breakdown of the Innovation Ecosystem 8. Loss of Public Trust 9. Suppression of Unfavorable Findings 10. Undermining of Equity-Focused Initiatives 11. Teacher and Faculty Disempowerment 12. Erosion of Inclusive Learning Environments 13. Reduced Access to Diverse Perspectives and so many more...,"It's still funding, but resources like foundations and non-profits focused on Equity in STEM/Education. Knowing where to find private foundations that support equity-driven projects and may offer specialized resources, networking, or smaller grants even if not direct research funding."
,3011236966,Founding Research Scientist - neurotech startup.,"The funding landscape of neurotechnology, improving skills in machine learning and working with software for career advancement, staying ahead of the curve with acceleration of the field.","Connections to people who are at the forefront of innovation in neurotech, connections to resources that enable better learning, knowledge of the potential changes in the regulatory landscape."
2025-05-14T01:00:31.659Z,3011236967,Senior Scientist in infectious disease research,Not enough jobs for all of the displaced scientists and not enough research funding. ,"A central list of people/employers who are hiring and have them separated by location and area of work (I.e. infectious disease research, science policy, etc.)"
2025-05-14T02:25:52.687Z,3011236968,Assistant Research Professor ,Funding cuts to health disparities research,
2025-05-14T07:48:15.035Z,3011236969,AI Researcher leading research on Speech Recognition for embedded and edge devices,,
2025-05-16T12:42:10.558Z,3011236970,Graduate ,,Job
2025-05-16T15:39:11.886Z,3011236971,Assistant Professor- Early Career ,Funding ,
2025-05-16T18:19:16.989Z,3011236972,"Early career, renewable energy social science ","Currently, my top concern is a lack of job opportunities in environmental science/renewable energy due to funding being pulled.","Job opportunities, networking events, resume/interview help, general community building"
2025-05-17T02:52:39.411Z,3011236973,,,
2025-05-17T23:37:52.049Z,3011236974,Postdoc ,The dismantling of science across all fields under the current administration ,Networking and resources for successfully transitioning to industry 
2025-05-19T04:21:03.096Z,3011236975,Health Tech entrepreneur ,NIH funding cut,Sustainable business model to sell to healthcare organizations so patients/caregivers have access without financial barriers.
